一	m
楞	ds
楓	di
楹	dt
榆	dn
榜	ds
榨	ds
榕	dr
槁	db
榮	fd
槓	dc
構	db
榛	dd
榷	dg
榻	dm
榫	dj
榴	dw
槐	di
槍	dr
榭	di
槌	dr
樣	de
樟	dj
槨	dl
樁	dx
樞	dr
標	df
槽	da
模	dk
樓	dv
樊	dk
槳	vd
樂	vd
樅	do
樽	di
樸	do
樺	dj
橙	dt
橫	dc
橘	db
樹	di
橄	dk
橢	db
橡	do
橋	db
橇	du
樵	df
機	di
檀	dm
檔	dw
檄	dk
檢	do
檜	da
櫛	dl
檳	dc
檬	do
櫃	dc
檻	dt
檸	dn
櫂	dg
櫥	di
櫝	dc
櫚	dr
櫓	da
櫻	dv
欄	dw
權	dg
欖	du
欠	no
次	mo
欣	ho
欲	co
款	go
欺	to
欽	co
歇	ao
歉	to
歌	mo
歐	so
歙	oo
歟	ho
歡	to
止	ym
正	mm
此	yp
步	yh
武	mm
歧	ye
歪	mm
歲	yh
歷	mm
歸	hb
歹	mi
死	mp
歿	me
殃	mk
殆	mr
殊	md
殉	ma
殘	mi
殖	mm
殤	mh
殮	mo
殯	mc
殲	mm
段	he
殷	he
殺	ke
殼	ge
毀	he
殿	se
毅	ye
毆	se
毋	wh
母	wi
每	oi
毒	qi
毓	ou
比	pp
毗	wp
毛	hu
毫	yu
毯	hf
毽	hq
氏	hp
民	rp
氐	hm
氓	yp
氖	os
氛	oh
氟	on
氣	od
氧	oq
氨	ov
氦	oo
氤	ok
氫	om
氮	of
氯	oe
氳	ot
水	e
永	ie
汁	ej
汀	en
氾	eu
求	ie
汝	ev
汗	ej
汙	ed
江	em
池	ed
汐	ei
汕	eu
汞	me
沙	eh
沁	ep
沈	eu
沉	eu
沅	eu
沛	eb
汪	eg
決	ek
沐	ed
汰	ei
沌	eu
汨	ea
沖	el
沒	ee
汽	en
沃	ek
汲	ee
汾	eh
泣	et
注	eg
泳	ee
沱	ep
泌	eh
泥	ep
河	er
沽	er
沾	er
沼	er
波	ee
沫	ej
法	ei
泓	ei
沸	en
泄	et
油	ew
況	eu
沮	em
泗	ec
泅	eo
泱	ek
沿	er
治	er
泡	eu
泛	eo
泊	ea
泉	he
泰	qe
洋	eq
洲	el
洪	ec
流	eu
津	eq
洌	en
洱	ej
洞	er
洗	eu
活	er
洽	er
派	ev
洶	ek
洛	er
浪	ev
涕	eh
消	eb
涇	em
浦	eb
浸	ee
海	ey
浙	el
涓	eb
浬	eg
涉	eh
浮	ed
浚	ee
浴	er
浩	er
涎	em
涼	ef
淳	ed
淙	ef
液	ek
淡	ef
淌	er
淤	ey
添	ep
淺	ei
清	eb
淇	ec
淋	ed
涯	eg
淑	ee
涮	en
淞	ei
淹	eu
涸	er
混	ep
淵	el
淅	el
淒	ev
渚	ea
涵	ee
淚	ek
淫	eg
淘	eu
淪	eb
深	ed
淮	eg
淨	ed
淆	eb
淄	ew
港	eu
游	ed
湔	en
渡	ee
渲	em
湧	es
湊	ek
渠	ed
渥	eg
渣	em
減	er
湛	ev
湘	eu
渤	es
湖	eb
湮	eg
渭	eb
渦	er
湯	eh
渴	ev
湍	eb
渺	eh
測	en
湃	ej
渝	en
渾	ej
滋	ei
溉	eu
渙	ek
溢	et
溯	eb
滓	ej
溶	er
滂	es
源	ef
溝	eb
滇	ec
滅	ef
溥	ei
溘	et
溼	eg
溺	em
溫	et
滑	eb
準	ej
溜	ew
滄	er
滔	ex
溪	ek
漳	ej
演	ec
滾	ev
漓	eb
滴	eb
漩	eo
漾	ee
漠	ek
漬	ec
漏	eb
漂	ef
漢	eo
滿	eb
滯	eb
漆	ee
漱	eo
漸	el
漲	ev
漣	ej
漕	ea
漫	ee
漯	ef
澈	ek
漪	er
滬	eu
漁	ef
滲	eh
滌	ed
漿	ve
潼	eg
澄	et
潑	ee
潦	ef
潔	ef
澆	eu
潭	ej
潛	ea
潸	eb
潮	eb
澎	eh
潺	ed
潰	ec
潤	eg
澗	ea
潘	ew
濂	ec
澱	ee
澡	ed
濃	ev
澤	ej
濁	ei
澧	et
澳	ek
激	ek
澹	er
濘	en
濱	ec
濟	ex
濠	eo
濛	eo
濤	ei
濫	et
濯	eg
澀	em
濬	eu
濡	eb
瀉	ef
瀋	ew
濾	ep
瀆	ec
濺	ei
瀑	ee
瀏	en
瀛	ev
瀟	ex
瀨	ec
瀚	em
瀝	em
瀕	ec
瀾	ew
瀰	eb
灌	eg
灑	ep
灘	eg
灣	en
灤	ed
火	f
灰	kf
灶	fg
灼	fm
災	vf
灸	nf
炕	fn
炎	ff
炒	fh
炊	fo
炙	bf
炫	fi
為	if
炳	fb
炬	fs
炯	fr
炭	uf
炸	fs
炮	fu
烊	fq
烘	fc
烤	fs
烙	fr
烈	mf
烏	hf
烹	yf
焉	mf
焊	fj
烽	fj
焙	fr
焚	df
焦	of
焰	fx
無	of
然	bf
煮	jf
煎	tf
煙	fg
煩	fc
煤	fd
煉	ff
照	af
煜	ft
煬	fh
煦	af
煌	fg
煥	fk
煞	nf
熔	fr
熙	sf
煽	fm
熊	if
熄	fp
熟	yf
熬	gf
熱	gf
熨	sf
熾	fa
燉	fk
燐	fq
燒	fu
燈	ft
燕	tf
熹	gf
燎	ff
燙	ef
燜	fp
燃	ff
燄	nf
燧	fo
營	fr
燮	fe
燦	fd
燥	fd
燭	fi
燬	fe
燴	fa
燻	ff
爆	fe
爍	fd
爐	ft
