一	yī
林	lín
枝	zhī
枝	qí
杯	bēi
枢	shū
柜	guì
柜	jǔ
枚	méi
析	xī
板	bǎn
松	sōng
枪	qiāng
枫	fēng
构	gòu
杭	háng
杰	jié
述	shù
枕	zhěn
丧	sāng
丧	sàng
或	huò
画	huà
卧	wò
事	shì
刺	cì
刺	cī
枣	zǎo
雨	yǔ
雨	yù
卖	mài
郁	yù
矾	fán
矿	kuàng
码	mǎ
厕	cè
奈	nài
奔	bēn
奔	bèn
奇	qí
奇	jī
奋	fèn
态	tài
欧	ōu
殴	ōu
垄	lǒng
妻	qī
妻	qì
轰	hōng
顷	qǐng
转	zhuǎn
转	zhuàn
转	zhuǎi
斩	zhǎn
轮	lún
软	ruǎn
到	dào
非	fēi
叔	shū
歧	qí
肯	kěn
齿	chǐ
些	xiē
些	suò
卓	zhuó
虎	hǔ
虏	lǔ
肾	shèn
贤	xián
尚	shàng
旺	wàng
具	jù
味	wèi
果	guǒ
昆	kūn
国	guó
哎	āi
咕	gū
昌	chāng
呵	hē
呵	a
呵	kē
畅	chàng
明	míng
易	yì
咙	lóng
昂	áng
迪	dí
典	diǎn
固	gù
忠	zhōng
呻	shēn
咒	zhòu
咋	zǎ
咋	zé
咋	zhā
咐	fù
呼	hū
鸣	míng
咏	yǒng
呢	ne
呢	ní
咄	duō
咖	kā
咖	gā
岸	àn
岩	yán
帖	tiè
帖	tiě
帖	tiē
罗	luó
帜	zhì
帕	pà
岭	lǐng
岭	líng
凯	kǎi
败	bài
账	zhàng
贩	fàn
贬	biǎn
购	gòu
贮	zhù
图	tú
钓	diào
制	zhì
知	zhī
知	zhì
迭	dié
氛	fēn
垂	chuí
牧	mù
物	wù
乖	guāi
刮	guā
秆	gǎn
和	hé
和	hè
和	huó
和	huò
和	hú
季	jì
委	wěi
委	wēi
秉	bǐng
佳	jiā
侍	shì
岳	yuè
供	gōng
供	gòng
使	shǐ
例	lì
侠	xiá
侥	jiǎo
侥	yáo
版	bǎn
侄	zhí
侦	zhēn
侣	lǚ
侧	cè
侧	zè
侧	zhāi
凭	píng
侨	qiáo
佩	pèi
货	huò
侈	chǐ
依	yī
卑	bēi
的	de
的	dí
的	dì
迫	pò
迫	pǎi
质	zhì
欣	xīn
征	zhēng
往	wǎng
爬	pá
彼	bǐ
径	jìng
所	suǒ
舍	shě
舍	shè
金	jīn
刹	chà
刹	shā
命	mìng
肴	yáo
斧	fǔ
爸	bà
采	cǎi
采	cài
觅	mì
受	shòu
乳	rǔ
贪	tān
念	niàn
贫	pín
忿	fèn
肤	fū
肺	fèi
肢	zhī
肿	zhǒng
胀	zhàng
朋	péng
股	gǔ
肮	āng
肪	fáng
肥	féi
服	fú
服	fù
胁	xié
周	zhōu
昏	hūn
鱼	yú
兔	tù
狐	hú
忽	hū
狗	gǒu
狞	níng
备	bèi
饰	shì
饱	bǎo
饲	sì
变	biàn
京	jīng
享	xiǎng
庞	páng
店	diàn
夜	yè
庙	miào
府	fǔ
底	dǐ
底	de
疟	nüè
疟	yào
疙	gē
疙	yì
疚	jiù
剂	jì
卒	zú
卒	cù
郊	jiāo
庚	gēng
废	fèi
净	jìng
净	chēng
盲	máng
放	fàng
刻	kè
育	yù
育	yō
氓	méng
氓	máng
闸	zhá
闹	nào
郑	zhèng
券	quàn
券	xuàn
卷	juàn
卷	juǎn
单	dān
单	shàn
单	chán
炬	jù
炒	chǎo
炊	chuī
炕	kàng
炎	yán
炉	lú
沫	mò
浅	qiǎn
浅	jiān
法	fǎ
泄	xiè
泄	yì
沽	gū
河	hé
沾	zhān
泪	lèi
沮	jǔ
沮	jù
油	yóu
泊	bó
泊	pō
沿	yán
泡	pào
泡	pāo
注	zhù
泣	qì
泞	nìng
泻	xiè
泌	mì
泌	bì
泳	yǒng
泥	ní
泥	nì
沸	fèi
沼	zhǎo
波	bō
泼	pō
泽	zé
泽	shì
治	zhì
怔	zhēng
怯	qiè
怖	bù
性	xìng
怕	pà
怜	lián
怪	guài
怡	yí
学	xué
宝	bǎo
宗	zōng
定	dìng
宠	chǒng
宜	yí
审	shěn
宙	zhòu
官	guān
空	kōng
空	kòng
空	kǒng
帘	lián
宛	wǎn
宛	yuān
实	shí
试	shì
郎	láng
郎	làng
诗	shī
肩	jiān
房	fáng
房	páng
诚	chéng
衬	chèn
衫	shān
视	shì
祈	qí
话	huà
诞	dàn
诡	guǐ
询	xún
该	gāi
详	xiáng
详	yáng
建	jiàn
肃	sù
录	lù
隶	lì
帚	zhǒu
屉	tì
居	jū
届	jiè
刷	shuā
刷	shuà
屈	qū
弧	hú
弥	mí
弥	mǐ
弦	xián
承	chéng
孟	mèng
陋	lòu
陌	mò
孤	gū
陕	shǎn
降	jiàng
降	xiáng
函	hán
限	xiàn
妹	mèi
姑	gū
姐	jiě
姓	xìng
妮	nī
始	shǐ
姆	mǔ
迢	tiáo
驾	jià
叁	sān
参	cān
参	shēn
参	cēn
参	sān
艰	jiān
线	xiàn
练	liàn
组	zǔ
绅	shēn
细	xì
驶	shǐ
织	zhī
织	zhì
驹	jū
终	zhōng
驻	zhù
绊	bàn
驼	tuó
绍	shào
绎	yì
经	jīng
贯	guàn
契	qì
契	qiè
契	xiè
贰	èr
奏	zòu
春	chūn
帮	bāng
玷	diàn
珍	zhēn
玲	líng
珊	shān
玻	bō
毒	dú
毒	dài
型	xíng
拭	shì
挂	guà
封	fēng
持	chí
拷	kǎo
拱	gǒng
项	xiàng
垮	kuǎ
挎	kuà
挎	kū
城	chéng
挟	xié
挟	jiā
挠	náo
政	zhèng
赴	fù
赵	zhào
挡	dǎng
挡	dàng
拽	zhuài
拽	zhuāi
拽	yè
哉	zāi
挺	tǐng
括	kuò
括	guā
垢	gòu
拴	shuān
拾	shí
拾	shè
挑	tiāo
挑	tiǎo
垛	duǒ
垛	duò
指	zhǐ
垫	diàn
挣	zhèng
挣	zhēng
挤	jǐ
拼	pīn
挖	wā
按	àn
挥	huī
挪	nuó
拯	zhěng
某	mǒu
甚	shèn
甚	shén
荆	jīng
茸	róng
革	gé
革	jí
茬	chá
荐	jiàn
巷	xiàng
巷	hàng
带	dài
草	cǎo
茧	jiǎn
茵	yīn
茶	chá
荒	huāng
茫	máng
荡	dàng
荣	róng
荤	hūn
荤	xūn
荧	yíng
故	gù
胡	hú
荫	yīn
荫	yìn
荔	lì
南	nán
南	nā
药	yào
标	biāo
栈	zhàn
柑	gān
枯	kū
柄	bǐng
栋	dòng
相	xiāng
相	xiàng
查	chá
查	zhā
柏	bǎi
柏	bó
柏	bò
栅	zhà
栅	shān
栅	shi
栅	cè
柳	liǔ
柱	zhù
柿	shì
栏	lán
柠	níng
树	shù
勃	bó
勃	bèi
要	yào
要	yāo
柬	jiǎn
咸	xián
威	wēi
歪	wāi
研	yán
研	yàn
砖	zhuān
厘	lí
厚	hòu
砌	qì
砌	qiè
砂	shā
泵	bèng
砚	yàn
砍	kǎn
面	miàn
耐	nài
耍	shuǎ
牵	qiān
鸥	ōu
残	cán
殃	yāng
轴	zhóu
轴	zhòu
轻	qīng
鸦	yā
皆	jiē
韭	jiǔ
背	bèi
背	bēi
战	zhàn
点	diǎn
虐	nüè
临	lín
览	lǎn
竖	shù
省	shěng
省	xǐng
削	xiāo
削	xuē
尝	cháng
昧	mèi
盹	dǔn
是	shì
盼	pàn
眨	zhǎ
哇	wā
哇	wa
哄	hōng
哄	hǒng
哄	hòng
哑	yǎ
哑	yā
显	xiǎn
冒	mào
冒	mò
映	yìng
星	xīng
昨	zuó
咧	liě
咧	liē
咧	lié
咧	lie
昭	zhāo
畏	wèi
趴	pā
胃	wèi
贵	guì
界	jiè
虹	hóng
虾	xiā
虾	hā
蚁	yǐ
思	sī
思	sāi
蚂	mǎ
蚂	mā
蚂	mà
虽	suī
品	pǐn
咽	yān
咽	yàn
咽	yè
骂	mà
勋	xūn
哗	huá
哗	huā
咱	zán
咱	zá
咱	zǎ
响	xiǎng
哈	hā
哈	hǎ
哈	hà
哆	duō
咬	yǎo
咳	ké
咳	hāi
咪	mī
哪	nǎ
哪	něi
哪	na
哪	né
哟	yō
哟	yo
炭	tàn
峡	xiá
罚	fá
贱	jiàn
贴	tiē
贻	yí
骨	gǔ
骨	gū
幽	yōu
钙	gài
钝	dùn
钞	chāo
钟	zhōng
钢	gāng
钢	gàng
钠	nà
钥	yuè
钥	yào
钦	qīn
钧	jūn
钩	gōu
钮	niǔ
卸	xiè
缸	gāng
拜	bài
看	kàn
看	kān
矩	jǔ
毡	zhān
氢	qīng
怎	zěn
牲	shēng
选	xuǎn
适	shì
秒	miǎo
香	xiāng
种	zhǒng
种	zhòng
种	chóng
秋	qiū
科	kē
重	zhòng
重	chóng
复	fù
竿	gān
段	duàn
便	biàn
便	pián
俩	liǎng
俩	liǎ
贷	dài
顺	shùn
修	xiū
俏	qiào
俏	xiào
保	bǎo
促	cù
俄	é
俐	lì
侮	wǔ
俭	jiǎn
俗	sú
俘	fú
信	xìn
信	shēn
皇	huáng
泉	quán
鬼	guǐ
侵	qīn
禹	yǔ
侯	hóu
侯	hòu
追	zhuī
追	duī
俊	jùn
盾	dùn
待	dài
待	dāi
徊	huái
衍	yǎn
律	lǜ
很	hěn
须	xū
叙	xù
剑	jiàn
逃	táo
食	shí
食	sì
食	yì
盆	pén
胚	pēi
胧	lóng
胆	dǎn
胜	shèng
胞	bāo
胖	pàng
胖	pán
胖	pàn
脉	mài
脉	mò
胎	tāi
勉	miǎn
狭	xiá
狮	shī
独	dú
狰	zhēng
狡	jiǎo
狱	yù
狠	hěn
贸	mào
怨	yuàn
急	jí
饵	ěr
饶	ráo
蚀	shí
饺	jiǎo
饼	bǐng
峦	luán
弯	wān
将	jiāng
将	jiàng
奖	jiǎng
哀	āi
亭	tíng
亮	liàng
度	dù
度	duó
迹	jì
庭	tíng
疮	chuāng
疯	fēng
疫	yì
疤	bā
咨	zī
姿	zī
亲	qīn
亲	qìng
音	yīn
帝	dì
施	shī
闺	guī
闻	wén
闽	mǐn
阀	fá
阁	gé
差	chà
差	chā
差	chāi
差	cī
养	yǎng
美	měi
姜	jiāng
叛	pàn
送	sòng
类	lèi
迷	mí
籽	zǐ
娄	lóu
前	qián
首	shǒu
逆	nì
兹	zī
兹	cí
总	zǒng
炼	liàn
炸	zhà
炸	zhá
烁	shuò
炮	páo
炮	bāo
炮	pào
炫	xuàn
烂	làn
剃	tì
洼	wā
洁	jié
洪	hóng
洒	sǎ
洒	xǐ
柒	qī
浇	jiāo
浊	zhuó
洞	dòng
测	cè
洗	xǐ
洗	xiǎn
活	huó
派	pài
派	pā
洽	qià
染	rǎn
洛	luò
浏	liú
济	jì
